mode,origin,destination,operator,service_number,class,departure_time,arrival_time,price,duration,ac_nonac,preferences,extras,travel_type,accessibility
Flight,Delhi,Mumbai,Air India,AI101,Economy,06:00,08:15,4500,2h 15m,AC,Window Seat,WiFi|Meals,One-Way,Wheelchair Support
Flight,Delhi,Mumbai,Air India,AI101B,Business,06:00,08:15,12000,2h 15m,AC,Priority Boarding,WiFi|Meals|Lounge Access,One-Way,Wheelchair Support
Flight,Delhi,Mumbai,IndiGo,6E201,Economy,09:30,11:45,3800,2h 15m,AC,Standard,WiFi,One-Way,None
Flight,Delhi,Mumbai,SpiceJet,SG301,Economy,14:00,16:15,3500,2h 15m,AC,Standard,Meals,Round Trip,None
Flight,Delhi,Mumbai,Vistara,UK401,Business,18:30,20:45,11000,2h 15m,AC,Extra Legroom,WiFi|Meals|Priority Baggage,One-Way,Wheelchair Support
Flight,Delhi,Bangalore,Air India,AI102,First Class,07:00,09:45,18000,2h 45m,AC,Lie-flat Seat,WiFi|Meals|Lounge Access|Priority Baggage,One-Way,Wheelchair Support|Child Seat
Flight,Delhi,Bangalore,IndiGo,6E202,Economy,11:00,13:45,4500,2h 45m,AC,Standard,WiFi,One-Way,None
Flight,Delhi,Goa,Air India,AI103,Economy,08:00,10:30,5800,2h 30m,AC,Window Seat,Meals,Round Trip,None
Flight,Delhi,Goa,IndiGo,6E203,Business,12:30,15:00,13500,2h 30m,AC,Extra Legroom,WiFi|Meals|Lounge Access,One-Way,Wheelchair Support
Flight,Delhi,Jaipur,SpiceJet,SG304,Economy,14:30,15:30,1500,1h 00m,AC,Standard,None,One-Way,None
Train,Delhi,Mumbai,Rajdhani Express,12951,AC 1st Class,16:30,08:35,3500,16h 05m,AC,Bedding Included,Meals|Charging Port,One-Way,Wheelchair Support
Train,Delhi,Mumbai,Shatabdi Express,12002,AC Chair Car,06:15,14:30,1850,8h 15m,AC,Reserved Seat,Meals|Charging Port,Round Trip,None
Train,Delhi,Mumbai,Duronto Express,12259,AC 2-Tier,21:50,11:05,2200,13h 15m,AC,Sleeper Berth,Meals|Bedding|Charging Port,One-Way,Wheelchair Support
Train,Delhi,Mumbai,Garib Rath,12909,AC 3-Tier,15:05,07:25,1400,16h 20m,AC,Sleeper Berth,Charging Port,One-Way,None
Train,Delhi,Jaipur,Shatabdi Express,12015,AC Chair Car,06:05,10:30,825,4h 25m,AC,Reserved Seat,Meals|Charging Port,Round Trip,None
Train,Mumbai,Delhi,August Kranti,12953,Sleeper Class,17:10,09:25,900,16h 15m,Non-AC,Sleeper Berth,Charging Port,One-Way,None
Train,Delhi,Bangalore,Rajdhani Express,12429,AC 2-Tier,20:20,04:30,3100,32h 10m,AC,Sleeper Berth,Meals|Bedding|Charging Port,One-Way,Wheelchair Support
Train,Mumbai,Goa,Konkan Kanya,10111,AC 3-Tier,23:00,11:45,1600,12h 45m,AC,Sleeper Berth,Charging Port,One-Way,None
